tconst,titleType,originalTitle,isAdult,startYear,genres,averageRating,numVotes,description
tt2007993,movie,Sai de ke · ba lai: Tai yang qi,0,2011,"Action,Drama,History",7.5,7270,rise fall famous torero miguelin inside outside bullfighters
tt5934922,movie,Ikimizin Yerine,0,2016,"Drama,Romance",6.1,7270,half million dollars disappears doctor offices safe cops
tt0059125,movie,Dr. Terror's House of Horrors,0,1965,Horror,6.6,7269,college midvale fear losing football team players grades
tt3137764,movie,Staten Island Summer,0,2015,"Comedy,Drama",5.6,7266,space capsule crashlands earth astronaut aboard disappears connection
tt0269341,movie,Two Can Play That Game,0,2001,"Comedy,Romance",6.1,7266,war pacifist blackmailed pose ss officer disable scuttling
tt5622412,movie,Black Water,0,2018,"Action,Drama,Thriller",4.7,7263,midst depression prohibition calif stranger past walks spooner
tt0102011,movie,"He Said, She Said",0,1991,"Comedy,Drama,Romance",5.7,7259,creeping fungus starts killing astronauts trip back moon
tt0065769,movie,Le gendarme en balade,0,1970,"Comedy,Crime",6.5,7251,three petty criminals get tip great coup lots
tt0179183,movie,Fortress 2,0,2000,"Action,Sci-Fi",4.5,7250,theres something quite right bette davis stars english
tt8647310,movie,Buffaloed,0,2019,"Comedy,Drama",6.2,7248,antoine helps two former acquaintances escape country repay
tt9048786,movie,L'immortale,0,2019,"Crime,Drama",6.8,7248,arthur milton aka der hexer magicianringer must return
tt8179024,movie,Body Cam,0,2020,"Horror,Mystery,Thriller",5.3,7248,fiftysomething edith lambert thrilled find shes going baby
tt0066122,movie,Deep End,0,1970,"Comedy,Drama,Romance",7.2,7246,entangled story details lives german family throughout various
tt0312700,movie,The Foreigner,0,2003,"Action,Thriller",3.4,7246,mutant humanoids outer space kidnap young earth females
tt0109758,movie,Exit to Eden,0,1994,"Comedy,Crime,Romance",4.2,7242,ww platoon marines crashlands tiny pacific island occupied
tt0343663,movie,Eros,0,2004,"Drama,Romance",5.9,7239,carpenter fascist slovak state appointed aryan controller jewish
tt4827986,movie,The Sense of an Ending,0,2017,"Drama,Mystery",6.4,7234,eddie wants san francisco excon pedak go straight
tt1187041,movie,Arlen Faber,0,2009,"Comedy,Romance",6.4,7227,three stories shurik young student fights criminals falls
tt6196936,movie,The Kill Team,0,2019,"Action,Biography,Drama",6.0,7227,general othellos marriage destroyed vengeful ensign iago convinces
tt0063172,movie,Kaijû sôshingeki,0,1968,"Action,Adventure,Horror",6.4,7227,scientists use ecoterrorism impose world affecting extremes weather
tt0113269,movie,Haunted,0,1995,"Drama,Horror",6.2,7227,priest small town minas gerais arrival young causes
tt4842646,movie,The Most Hated Woman in America,0,2017,"Biography,Drama,History",6.1,7226,group illassorted international criminals executes tightlyplanned ransom sting
tt0095409,movie,Johnny Be Good,0,1988,"Comedy,Sport",4.6,7220,rick richards helicopter pilot wants set charter flying
tt1278104,movie,Osmanli Cumhuriyeti,0,2008,Comedy,5.2,7217,monalisa supposed accommodate beauty queens unfortunately citys hotels
tt0094828,movie,Camille Claudel,0,1988,"Biography,Drama,History",7.2,7215,two bounty hunters intentions team track western outlaw
tt1047494,movie,Meet the Browns,0,2008,"Comedy,Drama,Romance",4.5,7214,set backdrop repressed czechoslovakia five nonrelated vignettes presented
tt0113965,movie,Never Talk to Strangers,0,1995,"Crime,Drama,Mystery",5.2,7213,soviet union near chinese border stranger come little
tt0098503,movie,The Toxic Avenger Part II,0,1989,"Action,Comedy,Horror",5.0,7211,angelfaced gunfighter tasked infiltrating ranch overrun mexican bandits
tt1582271,movie,The Good Doctor,0,2011,"Drama,Thriller",5.5,7209,young man takes drastic measures rid dysfunctional family
tt0072608,movie,The Adventure of Sherlock Holmes' Smarter Brother,0,1975,"Comedy,Crime,Music",6.0,7203,womans sexual compulsions threaten destroy marriage
tt0322674,movie,De tweeling,0,2002,"Drama,Romance,War",7.4,7200,thrown monestary licentious drunken behaviour rasputin travels st
tt0093996,movie,Slumber Party Massacre II,0,1987,"Comedy,Horror,Musical",4.6,7200,stopping three crooks robbing innocent woman two dimwits
tt0462570,movie,Tiempo de valientes,0,2005,"Action,Comedy,Crime",7.5,7199,sexrepulsed woman disapproves sisters boyfriend sinks depression horrific
tt0859765,movie,San xia hao ren,0,2006,Drama,7.3,7195,paris polish gigolo marries rich jewish doctor stands
tt0758781,movie,Seed,0,2006,Horror,3.1,7192,three cowboys mistaken members outlaw gang relentlessly pursued
tt0142371,movie,Hokuto no Ken,0,1986,"Action,Animation,Drama",7.1,7192,old man lives secluded life desert alone memories
tt7552686,movie,Celle que vous croyez,0,2019,"Drama,Romance",6.8,7192,sedona two aging cowpokes bust broncos charm local
tt9109306,movie,The Final Wish,0,2018,Horror,4.3,7191,last drafted military service polish student spends day
tt0073600,movie,Race with the Devil,0,1975,"Action,Horror,Thriller",6.6,7190,man hops train small town claims presence allows
tt2142711,movie,Berlin Kaplani,0,2012,"Comedy,Family,Sport",5.2,7190,february march inside edo castle group assassins wait
tt0887971,movie,While She Was Out,0,2008,"Crime,Drama,Thriller",4.8,7184,would small aircraft crashes kalahari desert one seven
tt3268668,movie,Captive,0,2015,"Action,Biography,Crime",5.4,7184,sanshiro judo story sugata young man wants learn
tt0242256,movie,Alai Payuthey,0,2000,"Drama,Musical,Romance",8.3,7182,germ could destroy life earth stolen biological warfare
tt5294198,movie,Catfight,0,2016,"Action,Comedy,Drama",5.9,7168,story family troupe english actors india travel around
tt4210080,movie,The Confirmation,0,2016,"Adventure,Comedy,Drama",6.4,7167,farmer civil war virginia family vow remain neutral
tt0099729,movie,Hamoun,0,1990,Drama,7.9,7166,varied group passengers boarding ship bound prewwii germany
tt5457772,movie,Sarrainodu,0,2016,"Action,Drama",6.6,7163,ww manchuria prostitute grows resent abusive adjutant falls
